zooniverse,traptagger,digikam,new
,,,locationID
site,Cam.Site,Station,cameraID
season,,,season
roll,,,roll
capture_id,Capture_ID,,eventID
,,DateTimeOriginal,
question__species,capture_labels,Species,snapshotName
capture_date_local,date,Date,eventDate
capture_time_local,time,Time,eventTime
zooniverse_url_0,capture_url,file_path_1,filePath1
zooniverse_url_1,,,filePath2
zooniverse_url_2,,,filePath3
capture,,,capture
subject_id,id,,captureID
question__count_max,,,countMax
question__count_median,capture_sighting_count,metadata_Number,countMedian
question__count_min,,,countMin
question__standing,,Standing,standing
question__resting,,Resting,resting
question__moving,,Moving,moving
question__eating,,Eating,eating
question__interacting,,Interacting,interacting
question__drinking,,Drinking,drinking
question__young_present,,metadata_young_present,youngPresent
question__horns_visible,,,hornsVisible
p_users_identified_this_species,,,consensusSpecies
pielou_evenness_index,,,PielouEvennessIndex
,,,classifier
,,delta.time.secs,
,,delta.time.mins,
,,delta.time.hours,
,,delta.time.days,
,,EXIF.Model,
,,EXIF.Make,
,,metadata_Species,
,,metadata_Sex,
,,metadata_NumberOfIndividuals,
,,n_images,
,,HierarchicalSubject,
